"year","industry_branch","avg_wage","food_category","avg_price","unit"
2006,Doprava a skladování,19257,Chléb konzumní kmínový,16.1234,kg
2006,Doprava a skladování,19257,Mrkev,14.409799999999997,kg
2006,Doprava a skladování,19257,Mléko polotučné pasterované,14.437999999999999,l
2006,Doprava a skladování,19257,Přírodní minerální voda uhličitá,7.687799999999998,l
2006,Doprava a skladování,19257,Kapr živý,69.35000000000001,kg
2006,Doprava a skladování,19257,Konzumní brambory,12.075399999999997,kg
2006,Doprava a skladování,19257,Pšeničná mouka hladká,7.407199999999998,kg
2006,Doprava a skladování,19257,Vepřová pečeně s kostí,105.17739999999998,kg
2006,Doprava a skladování,19257,Pečivo pšeničné bílé,38.596799999999995,kg
2006,Doprava a skladování,19257,Pomeranče,24.73379999999999,kg
2006,"Ubytování, stravování a pohostinství",11674,Máslo,104.38779999999998,kg
2006,"Ubytování, stravování a pohostinství",11674,"Pivo výčepní, světlé, lahvové",8.448800000000004,l
2006,"Ubytování, stravování a pohostinství",11674,Papriky,35.310199999999995,kg
2006,"Ubytování, stravování a pohostinství",11674,Kuřata kuchaná celá,47.47420000000001,kg
2006,"Ubytování, stravování a pohostinství",11674,Jogurt bílý netučný,5.829,g
2006,"Ubytování, stravování a pohostinství",11674,Šunkový salám,116.77419999999996,kg
2006,"Ubytování, stravování a pohostinství",11674,Jablka konzumní,30.714799999999986,kg
2006,"Ubytování, stravování a pohostinství",11674,Těstoviny vaječné,26.095600000000005,kg
2006,"Ubytování, stravování a pohostinství",11674,Rostlinný roztíratelný tuk,69.45240000000001,kg
2006,"Ubytování, stravování a pohostinství",11674,Rajská jablka červená kulatá,57.829800000000006,kg
